"Marca temporal","1.Género","2.Edad  ","3.¿De qué tipo de colegio egresaste como bachiller?  ","4.¿A qué facultad perteneces?  ","5.¿Qué carrera estudias?  ","6.¿En qué semestre te encuentras actualmente?  ","7.¿Cuántas materias cursas actualmente este semestre?  ","8.¿Cuál es tu Promedio Ponderado Acumulado (PPA) del último semestre cursado?  ","9.¿Cuántas horas a la semana estudias fuera de tu horario de clases?  ","10.¿Cuál es tu estatura aproximada? (metros)  ","11.¿Trabajas actualmente?  ","12.¿Cuál es la distancia aproximada desde tu vivienda hasta la UAGRM?  "," 13.Tiempo promedio de traslado desde su vivienda a la UAGRM  "
"2026/06/23 1:42:59 p.m. GMT-4","Femenino","22","Colegio privado","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría Pública","7mo semestre","5 a 6 materias","82","3","1.58","Sí, trabajo medio tiempo","Entre 20 y 25 km","40"
"2026/06/23 1:47:40 p.m. GMT-4","Femenino","20","Colegio fiscal/público","Facultad Politécnica","Mecanica de produccion","3er semestre","3 a 4 materias","57","9","54","No trabajo actualmente","Entre 25 y 30 km","20 "
"2026/06/23 1:57:32 p.m. GMT-4","Femenino","19","Colegio de convenio","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría Pública ","3er semestre","7 o más materias","90","5","1.70","Sí, trabajo por cuenta propia/emprendimiento","Más de 50 km","1.30 "
"2026/06/23 2:03:08 p.m. GMT-4","Masculino","32","Colegio fiscal/público","Facultad Politécnica","Mecánica industrial ","3er semestre","1 a 2 materias","68","2","176","Sí, trabajo tiempo completo","Entre 5 y 10 km","30"
"2026/06/23 2:05:37 p.m. GMT-4","Femenino","20","Colegio de convenio","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría pública ","5to semestre","5 a 6 materias","91","3","1.55","Sí, trabajo medio tiempo","Entre 15 y 20 km","2"
"2026/06/23 2:13:49 p.m. GMT-4","Masculino","27","Colegio de convenio","Facultad de Ciencias Exactas y Tecnología","Ing. En Alimentos ","10mo semestre","1 a 2 materias","78","2","1.72","Sí, trabajo medio tiempo","Entre 10 y 15 km"," 1"
"2026/06/23 2:21:02 p.m. GMT-4","Femenino","35","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduria publics","10mo semestre","7 o más materias","78","2","1 65","Sí, trabajo tiempo completo","Entre 25 y 30 km","40"
"2026/06/23 2:30:15 p.m. GMT-4","Femenino","21","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría pública ","5to semestre","5 a 6 materias","80","5 ","1.64","Sí, trabajo medio tiempo","Más de 50 km","1 "
"2026/06/23 2:32:22 p.m. GMT-4","Femenino","29","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduria pública ","7mo semestre","5 a 6 materias","55","6","1.59","Sí, trabajo medio tiempo","Entre 10 y 15 km","60"
"2026/06/23 2:48:09 p.m. GMT-4","Masculino","19","Colegio fiscal/público","Facultad Politécnica","Mecánica automotriz ","2do semestre","1 a 2 materias","69","50","1.78","Sí, trabajo medio tiempo","Entre 10 y 15 km","30 "
"2026/06/23 2:49:46 p.m. GMT-4","Masculino","19","Colegio fiscal/público","Facultad Politécnica","Mecánica automotriz ","2do semestre","1 a 2 materias","69","50","1.78","Sí, trabajo medio tiempo","Entre 10 y 15 km","30"
"2026/06/23 2:54:00 p.m. GMT-4","Femenino","19","Colegio fiscal/público","Facultad Politécnica","Mecánica industrial ","2do semestre","5 a 6 materias","60","5","1.60","Sí, trabajo medio tiempo","Más de 50 km","1 "
"2026/06/23 3:02:13 p.m. GMT-4","Masculino","22","Colegio privado","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduria Publica","10mo semestre","1 a 2 materias","72","1","1.78","Sí, trabajo medio tiempo","Entre 5 y 10 km","30 "
"2026/06/23 3:25:51 p.m. GMT-4","Femenino","23","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría ","5to semestre","3 a 4 materias","PPA 70 el semestre que paso acumule 7 puntos ","2 ","1,56","Sí, trabajo medio tiempo","Más de 50 km","2"
"2026/06/23 3:26:27 p.m. GMT-4","Femenino","18","Colegio de convenio","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría pública ","1er semestre","5 a 6 materias","No tengo ","2","1, 51","Sí, trabajo por cuenta propia/emprendimiento","Más de 50 km","2 "
