"Marca temporal","1.Género","2.Edad  ","3.¿De qué tipo de colegio egresaste como bachiller?  ","4.¿A qué facultad perteneces?  ","5.¿Qué carrera estudias?  ","6.¿En qué semestre te encuentras actualmente?  ","7.¿Cuántas materias cursas actualmente este semestre?  ","8.¿Cuál es tu Promedio Ponderado Acumulado (PPA) del último semestre cursado?  ","9.¿Cuántas horas a la semana estudias fuera de tu horario de clases?  ","10.¿Cuál es tu estatura aproximada? (metros)  ","11.¿Trabajas actualmente?  ","12.¿Cuál es la distancia aproximada desde tu vivienda hasta la UAGRM?  "," 13.Tiempo promedio de traslado desde su vivienda a la UAGRM  "
"2026/06/26 8:52:03 a.m. GMT-4","Femenino","20","Colegio de convenio","Facultad de Ciencias Farmacéuticas y Bioquímicas","Farmacia ","3er semestre","7 o más materias","56","3 ","1.68","No trabajo actualmente","Entre 40 y 45 km","1"
"2026/06/26 9:19:48 a.m. GMT-4","Femenino","19","Colegio de convenio","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica ","2do semestre","3 a 4 materias","58","2","1.50 cm","Sí, trabajo medio tiempo","Entre 15 y 20 km","2"
"2026/06/26 10:43:19 a.m. GMT-4","Femenino","20","Colegio de convenio","Facultad de Ciencias Farmacéuticas y Bioquímicas","Farmacia ","4to semestre","7 o más materias","60","15","160","Sí, trabajo por cuenta propia/emprendimiento","Entre 10 y 15 km","1 "
"2026/06/26 11:28:39 a.m. GMT-4","Masculino","17","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica ","1er semestre","5 a 6 materias","Nose","4","1.79","Sí, trabajo medio tiempo","Entre 20 y 25 km","180"
"2026/06/26 11:29:47 a.m. GMT-4","Femenino","19","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Farmacia ","3er semestre","7 o más materias","79","4","1.55","No trabajo actualmente","Entre 25 y 30 km","1 "
"2026/06/26 11:42:28 a.m. GMT-4","Femenino","20","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquimica ","1er semestre","5 a 6 materias","80","1 ","1.60","Sí, trabajo medio tiempo","Entre 45 y 50 km","1"
"2026/06/26 12:07:35 p.m. GMT-4","Femenino","19","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Farmacia ","3er semestre","7 o más materias","90","4","1.55","No trabajo actualmente","Entre 40 y 45 km","2"
"2026/06/26 12:25:52 p.m. GMT-4","Masculino","20","Colegio de convenio","Facultad de Ciencias Farmacéuticas y Bioquímicas","bioquimica ","3er semestre","7 o más materias","56","4 ","1.71","Sí, trabajo medio tiempo","Entre 2 y 5 km","60"
"2026/06/26 12:49:42 p.m. GMT-4","Femenino","18","Colegio privado","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica ","1er semestre","5 a 6 materias","Aun nose ","3 ","1.60","No trabajo actualmente","Entre 10 y 15 km","1 "
"2026/06/26 12:54:50 p.m. GMT-4","Femenino","21","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica ","4to semestre","5 a 6 materias","62","2","1.56","Sí, trabajo por cuenta propia/emprendimiento","Entre 40 y 45 km","45 "
"2026/06/26 6:30:40 p.m. GMT-4","Femenino","19","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Farmacia ","3er semestre","7 o más materias","62","4","1.64","No trabajo actualmente","Entre 40 y 45 km","45"
"2026/06/26 6:34:35 p.m. GMT-4","Femenino","19","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica","2do semestre","5 a 6 materias","72","1 ","1,72","No trabajo actualmente","Entre 5 y 10 km","30 "
"2026/06/26 6:51:28 p.m. GMT-4","Femenino","18","Colegio de convenio","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquimica ","1er semestre","1 a 2 materias","No tengo","5","1.64","No trabajo actualmente","Más de 50 km","1"
"2026/06/26 9:04:29 p.m. GMT-4","Femenino","18","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica ","1er semestre","5 a 6 materias","Ns","1","1.54","No trabajo actualmente","Más de 50 km","1"
"2026/06/28 11:28:30 p.m. GMT-4","Femenino","18","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Farmacia ","1er semestre","5 a 6 materias","No tengo aún.","100","1.60","Sí, trabajo tiempo completo","Entre 45 y 50 km","1"
